filename;CHECK;COMMENT
CLF_94200112_2025_09_25;Y;OOS PERIOD
CLF_94200114_2025_09_25;Y;FINE
CLF_94200116_2024_09_22;Y;OOS PERIOD
CLF_94200117_2025_09_25;Y;FINE
CLF_94200119_2024_11_04;Y;FINE
CLF_94200120_2025_09_25;Y;OOS PERIOD
CLF_94200168_2024_11_04;Y;FINE
CLF_94226102_2025_09_19;Y;FINE
CLF_94226103_2025_09_19;Y;FINE
CLF_94226104_2025_09_19;Y;FUZZY START
CLF_94226106_2025_09_19;Y;FINE
CLF_94226107_2025_10_02;Y;FINE
CLF_94226108_2025_10_02;Y;OOS period, removed fuzzy start, 2 data gaps
CLF_94226109_2025_10_02;Y;FINE
CLF_94226110_2025_10_02;DOUBLE CHECK;LARGE GAPS
CLF_94226111_2025_09_25;Y;FINE
CLF_94226112_2025_10_03;Y;OOS PERIOD
CLF_94226113_2025_09_25;Y;FINE
CLF_94226114_2025_10_02;Y;OOS PERIODS
CLF_94226115_2025_10_02;Y ;FINE
CLF_94226118_2024_09_22;Y;OOS PERIODS
CLF_94226119_2025_09_25;Y;FINE
CLF_94226120_2024_11_05;Y;FINE
CLF_94226124_2025_09_25;Y;FINE
CLF_94226126_2024_09_22;Y;FINE
CLF_94226128_2024_11_10;Y;OOS period
CLF_94226129_2025_09_22;Y;FINE
CLF_94226130_2025_09_22;Y;FINE
CLF_94226131_2025_10_02;Y;OOS PERIOD
CLF_94226133_2025_10_11;Y;FINE
CLF_94226134_2025_10_11;Y;FINE
CLF_94226135_2025_10_02;Y;FINE
CLF_94226136_2024_11_04;Y;OOS period
CLF_94226138_2024_11_04;Y;FINE
CLF_94226140_2024_09_22;Y;FINE
CLF_94226141_2024_09_22;Y;OOS PERIOD
CLF_94226143_2025_09_22;DOUBLE CHECK;OUTLIER GAPS
CLF_94226144_2025_09_22;Y;OOS PERIOD
CLF_94226145_2025_09_19;Y;FINE
CLF_94226147_2024_11_04;Y;FINE
CLF_94226148_2025_09_18;Y;FINE
CLF_94226150_2024_11_04;Y;removed fuzzy start
CLF_94290001_2025_10_11;Y;FINE
CLF_94290002_2025_10_11;Y;FINE
CLF_94290004_2025_10_11;Y;FINE
CLF_94290005_2025_10_11;Y;fuzzy start
CLF_94290006_2024_11_10;Y;FINE
CLF_94290007_2024_11_10;DOUBLE CHECK;OUTLIER
CLF_94290008_2025_09_19;Y;OOS PERIOD
CLF_94290009_2025_09_18;DOUBLE CHECK;OOS PERIOD
CLF_94290010_2025_09_18;Y ;FINE
CLF_94290011_2025_10_01;DOUBLE CHECK;FUZZY START
CLF_94290012_2024_11_08;Y;removed fuzzy start
CLF_94290013_2025_10_16;DOUBLE CHECK;FUZZY START
CLF_94290014_2024_11_08;Y;removed fuzzy start
CLF_94290016_2025_09_30;DOUBLE CHECK;fuzzy start
CLF_94290017_2024_09_23;DOUBLE CHECK;fuzzy start
CLF_94290019_2025_10_01;Y;removed fuzzy start
CLF_94290020_2025_10_01;DOUBLE CHECK;fuzzy start, OOS PERIOD
CLF_94290021_2025_10_01;DOUBLE CHECK;fuzzy start
CLF_94290022_2025_10_01;DOUBLE CHECK;fuzzy start
CLF_94290023_2024_11_06;DOUBLE CHECK;fuzzy start
CLF_94290024_2025_10_01;DOUBLE CHECK;fuzzy start
CLF_94290025_2025_10_01;DOUBLE CHECK;fuzzy start
CLF_94290026_2025_10_03;Y ;FINE
CLF_94290027_2025_10_03;Y;FINE
CLF_94290028_2025_10_03;Y;FINE
CLF_94290029_2025_10_02;Y;FINE
CLF_94290030_2025_10_02;Y;FINE
CLF_94290031_2025_10_01;Y;FINE
CLF_94290032_2025_10_01;Y;FINE
CLF_94290033_2025_10_01;Y;FINE
CLF_94290034_2025_10_01;Y;FINE
CLF_94290035_2025_10_01;Y;FINE
CLF_94290036_2025_10_11;Y;FINE
CLF_94290037_2025_10_11;DOUBLE CHECK;fuzzy start
CLF_94290038_2025_10_11;Y;FINE
CLF_94290039_2024_11_10;Y;FINE
CLF_94290040_2025_10_02;Y;FINE
CLF_94290046_2025_09_18;DOUBLE CHECK;FUZZY START
CLF_94290047_2025_09_18;Y;FINE
CLF_94290048_2025_09_18;DOUBLE CHECK;FUZZY START
CLF_94290052_2025_10_01;DOUBLE CHECK;FUZZY START
CLF_94290054_2025_10_01;DOUBLE CHECK;FUZZY START
CLF_94290055_2025_10_01;DOUBLE CHECK;FUZZY START
CLF_94290056_2025_09_25;Y;FINE
CLF_94290057_2024_11_08;Y;FINE
CLF_94290058_2025_09_25;DOUBLE CHECK;OOS PERIOD
CLF_94290059_2025_09_30;DOUBLE CHECK;OOS PERIOD
CLF_94290060_2025_09_30;Y;FINE
